UnderwrittenCoverID,PolicyID,TransactionMonth,IsVATRegistered,Citizenship,LegalType,Title,Language,Bank,AccountType,MaritalStatus,Gender,Country,Province,PostalCode,MainCrestaZone,SubCrestaZone,ItemType,mmcode,VehicleType,RegistrationYear,make,Model,Cylinders,cubiccapacity,kilowatts,bodytype,NumberOfDoors,VehicleIntroDate,CustomValueEstimate,AlarmImmobiliser,TrackingDevice,CapitalOutstanding,NewVehicle,WrittenOff,Rebuilt,Converted,CrossBorder,NumberOfVehiclesInFleet,SumInsured,TermFrequency,CalculatedPremiumPerTerm,ExcessSelected,CoverCategory,CoverType,CoverGroup,Section,Product,StatutoryClass,StatutoryRiskType,TotalPremium,TotalClaims,VehicleAge,LossRatio,PremiumRate,HasClaim,ClaimIndicator,Log_TotalPremium,Log_TotalClaims,Log_SumInsured,Log_CalculatedPremiumPerTerm
145249,12827,2015-03-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,0.01,Monthly,25.0,,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,21.929824561403,0.0,11,0.0,2499.999975,0,0,3.1324384457896497,0.0,0.009950330853168,3.258096538021482
145249,12827,2015-05-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,0.01,Monthly,25.0,,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,21.929824561403,0.0,11,0.0,2499.999975,0,0,3.1324384457896497,0.0,0.009950330853168,3.258096538021482
145249,12827,2015-07-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,0.01,Monthly,25.0,,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,0.0,0.0,11,,2499.999975,0,0,0.0,0.0,0.009950330853168,3.258096538021482
145255,12827,2015-05-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,119300.0,Monthly,584.6468,,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,512.848070175439,0.0,11,0.0,0.0049006437552388,0,0,6.24192763844554,0.0,11.68940499028055,6.372716877486613
145255,12827,2015-07-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,119300.0,Monthly,584.6468,,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,0.0,0.0,11,,0.0049006437552388,0,0,0.0,0.0,11.68940499028055,6.372716877486613
145247,12827,2015-01-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,500000.0,Monthly,57.5412,,Third Party,Third Party,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,3.256434634974,0.0,11,0.0,0.0001150823999999,0,0,1.4484318697043863,0.0,13.122365377402328,4.069730779857879
145247,12827,2015-04-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,500000.0,Monthly,57.5412,,Third Party,Third Party,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,50.474736842105,0.0,11,0.0,0.0001150823999999,0,0,3.941091140557026,0.0,13.122365377402328,4.069730779857879
145247,12827,2015-06-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,500000.0,Monthly,57.5412,,Third Party,Third Party,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,35.332315789474,0.0,11,0.0,0.0001150823999999,0,0,3.592707587374571,0.0,13.122365377402328,4.069730779857879
145247,12827,2015-08-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,500000.0,Monthly,57.5412,,Third Party,Third Party,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,0.0,0.0,11,,0.0001150823999999,0,0,0.0,0.0,13.122365377402328,4.069730779857879
145245,12827,2015-03-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,5000000.0,Monthly,1.1508,,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,1.00947368421,0.0,11,0.0,2.3016000000000002e-07,0,0,0.6978728391308993,0.0,15.424948670398354,0.7658398659533859
145245,12827,2015-05-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,5000000.0,Monthly,1.1508,,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,1.00947368421,0.0,11,0.0,2.3016000000000002e-07,0,0,0.6978728391308993,0.0,15.424948670398354,0.7658398659533859
145245,12827,2015-07-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,2004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,,,,,,,5000000.0,Monthly,1.1508,,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,0.0,0.0,11,,2.3016000000000002e-07,0,0,0.0,0.0,15.424948670398354,0.7658398659533859
127439,10874,2015-02-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1513,Rand East,Rand East,Mobility - Motor,64092300.0,Passenger Vehicle,2004,VOLKSWAGEN,TOUAREG 5.0 V10 TDI TIP,10.0,4921.0,230.0,SUV,5.0,2004-03-01,161000.0,Yes,No,161000.0,,False,False,False,,,0.01,Monthly,25.0,,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,21.929824561403,0.0,11,0.0,2499.999975,0,0,3.1324384457896497,0.0,0.009950330853168,3.258096538021482
127445,10874,2014-12-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1513,Rand East,Rand East,Mobility - Motor,64092300.0,Passenger Vehicle,2004,VOLKSWAGEN,TOUAREG 5.0 V10 TDI TIP,10.0,4921.0,230.0,SUV,5.0,2004-03-01,161000.0,Yes,No,161000.0,,False,False,False,,,161000.0,Monthly,809.3772,,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,458.051612903225,0.0,10,0.0,0.0050271875776397,0,0,6.1291626501511765,0.0,11.989165855127435,6.697499818284009
127445,10874,2015-03-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1513,Rand East,Rand East,Mobility - Motor,64092300.0,Passenger Vehicle,2004,VOLKSWAGEN,TOUAREG 5.0 V10 TDI TIP,10.0,4921.0,230.0,SUV,5.0,2004-03-01,161000.0,Yes,No,161000.0,,False,False,False,,,161000.0,Monthly,809.3772,,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,709.98,0.0,11,0.0,0.0050271875776397,0,0,6.566644300012384,0.0,11.989165855127435,6.697499818284009
127445,10874,2015-05-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1513,Rand East,Rand East,Mobility - Motor,64092300.0,Passenger Vehicle,2004,VOLKSWAGEN,TOUAREG 5.0 V10 TDI TIP,10.0,4921.0,230.0,SUV,5.0,2004-03-01,161000.0,Yes,No,161000.0,,False,False,False,,,161000.0,Monthly,809.3772,,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,709.98,0.0,11,0.0,0.0050271875776397,0,0,6.566644300012384,0.0,11.989165855127435,6.697499818284009
127445,10874,2015-07-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1513,Rand East,Rand East,Mobility - Motor,64092300.0,Passenger Vehicle,2004,VOLKSWAGEN,TOUAREG 5.0 V10 TDI TIP,10.0,4921.0,230.0,SUV,5.0,2004-03-01,161000.0,Yes,No,161000.0,,False,False,False,,,161000.0,Monthly,809.3772,,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,526.75935483871,0.0,11,0.0,0.0050271875776397,0,0,6.268640412461826,0.0,11.989165855127435,6.697499818284009
127437,10874,2015-02-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1513,Rand East,Rand East,Mobility - Motor,64092300.0,Passenger Vehicle,2004,VOLKSWAGEN,TOUAREG 5.0 V10 TDI TIP,10.0,4921.0,230.0,SUV,5.0,2004-03-01,161000.0,Yes,No,161000.0,,False,False,False,,,500000.0,Monthly,66.1323,,Third Party,Third Party,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,58.010789473684,0.0,11,0.0,0.0001322645999999,0,0,4.077720299621916,0.0,13.122365377402328,4.20666529924367
120087,10173,2014-11-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1619,Rand East,Rand East,Mobility - Motor,54057250.0,Passenger Vehicle,2004,RENAULT,SCENIC 1.9 dCi EXPRESSION,4.0,1870.0,75.0,MPV,5.0,2003-02-01,52700.0,Yes,No,52700.0,,,,,,,3500.0,Monthly,0.6815,,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,0.119561403508,0.0,10,0.0,0.0001947142857142,0,0,0.1129370045994144,0.0,8.160803920954665,0.5196862521981872
